"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Linville Falls","Acceptable PM2.5 AQI & Speciation Mass","Avery",35.972347,-81.933072
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
NA,"PM.25","Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844
